date,description,amount
01/08/2024,Swiggy Food Order,450
02/08/2024,Uber Ride,350
03/08/2024,Amazon Shopping,1200
04/08/2024,Electricity Bill,800
05/08/2024,Netflix Subscription,200
06/08/2024,Pizza Hut Lunch,650
07/08/2024,Unknown Store Purchase,500
08/08/2024,Salary Credit,50000
09/08/2024,Flipkart Electronics,2500
10/08/2024,Petrol Pump,1500
11/08/2024,Doctor Consultation,1200
12/08/2024,Udemy Course Purchase,799
13/08/2024,Zomato Dinner,350
14/08/2024,Metro Card Recharge,200
15/08/2024,Gym Membership,1000
